acquired_abnormality	location_of	experimental_model_of_disease
anatomical_abnormality	manifestation_of	physiologic_function
alga	isa	entity
mental_or_behavioral_dysfunction	affects	experimental_model_of_disease
health_care_activity	associated_with	anatomical_abnormality
population_group	interacts_with	age_group
clinical_attribute	result_of	natural_phenomenon_or_process
body_part_organ_or_organ_component	location_of	biologic_function
biologically_active_substance	complicates	anatomical_abnormality
disease_or_syndrome	result_of	acquired_abnormality
carbohydrate	interacts_with	vitamin
molecular_sequence	isa	spatial_concept
steroid	affects	mental_process
experimental_model_of_disease	occurs_in	professional_or_occupational_group
patient_or_disabled_group	uses	clinical_drug
professional_or_occupational_group	produces	clinical_drug
nucleic_acid_nucleoside_or_nucleotide	isa	chemical_viewed_structurally
organism_function	degree_of	mental_process
steroid	affects	cell_or_molecular_dysfunction
body_part_organ_or_organ_component	connected_to	body_substance
mental_process	result_of	human_caused_phenomenon_or_process
experimental_model_of_disease	process_of	archaeon
therapeutic_or_preventive_procedure	affects	organ_or_tissue_function
carbohydrate	interacts_with	pharmacologic_substance
cell_function	co-occurs_with	physiologic_function
pathologic_function	process_of	physiologic_function
mental_or_behavioral_dysfunction	result_of	anatomical_abnormality
organ_or_tissue_function	process_of	cell_function
enzyme	disrupts	fully_formed_anatomical_structure
nucleic_acid_nucleoside_or_nucleotide	affects	physiologic_function
cell	produces	amino_acid_peptide_or_protein
cell_component	location_of	cell_function
cell_or_molecular_dysfunction	process_of	mental_process
hormone	affects	cell_function
organic_chemical	affects	experimental_model_of_disease
mental_process	affects	archaeon
behavior	associated_with	group
cell_component	issue_in	biomedical_occupation_or_discipline
experimental_model_of_disease	manifestation_of	molecular_function
neuroreactive_substance_or_biogenic_amine	affects	physiologic_function
enzyme	complicates	organ_or_tissue_function
anatomical_abnormality	part_of	amphibian
embryonic_structure	issue_in	occupation_or_discipline
disease_or_syndrome	manifestation_of	pathologic_function
organic_chemical	isa	entity
mental_or_behavioral_dysfunction	produces	immunologic_factor
cell	location_of	bacterium
neoplastic_process	result_of	natural_phenomenon_or_process
disease_or_syndrome	affects	pathologic_function
